full_name,age,city,district,speciality,desired_course,years_of_experience,graduation_year
Смирнова Виктория Игоревна,29,Новосибирск,Центральный,маркетолог,Цифровой маркетинг,6,2016
Волков Артем Дмитриевич,28,Новосибирск,Заельцовский,IT-специалист,Python для анализа данных,5,2018
Соколова Анна Викторовна,32,Новосибирск,Дзержинский,IT-специалист,Python для анализа данных,8,2014
Михаил Сергеевич Волков,35,Новосибирск,Ленинский,IT-специалист,Python для анализа данных,11,2010
Смирнов Андрей Викторович,34,Новосибирск,Центральный,IT-специалист,Python для анализа данных,10,2012
Петров Сергей Владимирович,34,Самара,Ленинский,менеджер,Управление проектами,10,2012
Александр Викторович Морозов,34,Самара,Октябрьский,менеджер,Управление проектами,10,2012
Волкова Ольга Сергеевна,34,Самара,Куйбышевский,маркетолог,Цифровой маркетинг,10,2012
Смирнов Дмитрий Александрович,35,Самара,Советский,менеджер,Управление проектами,10,2011
Смирнов Андрей Викторович,34,Самара,Ленинский,IT-специалист,Python для анализа данных,10,2012
Андрей Викторович Попов,35,Ростов-на-Дону,Ленинский,менеджер,Управление проектами,11,2009
Смирнов Иван Петрович,35,Ростов-на-Дону,Кировский,инженер,Управление проектами,11,2010
Ковалев Игорь Петрович,38,Ростов-на-Дону,Первомайский,менеджер,Управление проектами,14,2008
Смирнов Дмитрий Александрович,32,Ростов-на-Дону,Советский,маркетолог,Цифровой маркетинг,8,2014
Соколов Дмитрий Алексеевич,35,Ростов-на-Дону,Ленинский,IT-специалист,Python для анализа данных,10,2010
Александр Сергеевич Волков,34,Уфа,Калининский,менеджер,Управление проектами,10,2012
Иванова Анна Сергеевна,34,Уфа,Кировский,маркетолог,Цифровой маркетинг,10,2011
Иванов Иван Иванович,35,Уфа,Ленинский,менеджер,Управление проектами,11,2010
Виктория Сергеевна Кузнецова,34,Уфа,Октябрьский,маркетолог,Цифровой маркетинг,10,2012
Соколов Дмитрий Александрович,34,Уфа,Калининский,менеджер,Управление проектами,10,2012
Воронов Андрей Петрович,35,Москва,Центральный,IT-специалист,Python для анализа данных,11,2009
Волков Артём Сергеевич,31,Москва,Северный,IT-специалист,Python для анализа данных,8,2015
Соколов Иван Алексеевич,35,Москва,Южный,IT-специалист,Python для анализа данных,12,2010
Воробьев Алексей Петрович,35,Москва,Западный,IT-специалист,Python для анализа данных,11,2011
Смирнов Алексей Дмитриевич,32,Москва,Восточный,менеджер,Управление проектами,8,2014
Артемова Елена Викторовна,34,Казань,Вахитовский,маркетолог,Цифровой маркетинг,10,2012
Виктория Игоревна Соколова,35,Казань,Приволжский,маркетолог,Цифровой маркетинг,11,2011
Михаил Олегович Волков,35,Казань,Советский,инженер,Управление проектами,11,2011
Волков Артём Дмитриевич,34,Казань,Кировский,IT-специалист,Python для анализа данных,10,2011
Иванов Сергей Алексеевич,32,Казань,Вахитовский,менеджер,Управление проектами,8,2014
Воробьев Алексей Дмитриевич,35,Нижний Новгород,Нижегородский,менеджер,Управление проектами,11,2010
Соколова Анна Викторовна,34,Нижний Новгород,Приокский,маркетолог,Цифровой маркетинг,10,2011
Морозов Дмитрий Александрович,34,Нижний Новгород,Советский,маркетолог,Цифровой маркетинг,10,2012
Смирнов Алексей Викторович,34,Нижний Новгород,Канавинский,менеджер,Управление проектами,10,2012
Волков Андрей Сергеевич,34,Нижний Новгород,Нижегородский,менеджер,Управление проектами,10,2012
Смирнов Алексей Дмитриевич,34,Челябинск,Центральный,менеджер,Управление проектами,10,2012
Соколов Иван Петрович,45,Челябинск,Металлургический,менеджер,Управление проектами,20,2006
Волкова Елизавета Игоревна,35,Челябинск,Тракторозаводский,маркетолог,Цифровой маркетинг,12,2011
Петрова Анна Сергеевна,34,Челябинск,Центральный,бухгалтер,Корпоративные финансы,10,2012
Морозов Дмитрий Алексеевич,31,Челябинск,Металлургический,IT-специалист,Python для анализа данных,8,2015
Морозова Елена Викторовна,34,Красноярск,Центральный,маркетолог,Цифровой маркетинг,10,2012
Волкова Анна Сергеевна,35,Красноярск,Советский,маркетолог,Цифровой маркетинг,12,2010
Смирнов Алексей Дмитриевич,35,Красноярск,Октябрьский,инженер,Python для анализа данных,11,2010
Михаил Сергеевич Волков,35,Красноярск,Ленинский,IT-специалист,Python для анализа данных,11,2010
Виктория Сергеевна Морозова,32,Красноярск,Центральный,маркетолог,Цифровой маркетинг,8,2014
Смирнова Екатерина Викторовна,34,Екатеринбург,Ленинский,бухгалтер,Анализ данных в Excel,10,2012
Соколов Дмитрий Александрович,35,Екатеринбург,Октябрьский,менеджер,Управление проектами,11,2010
Морозов Андрей Викторович,34,Екатеринбург,Кировский,IT-специалист,Python для анализа данных,10,2012
Козлов Дмитрий Андреевич,35,Екатеринбург,Чкаловский,IT-специалист,Python для анализа данных,12,2010
Иванов Иван Сергеевич,35,Екатеринбург,Ленинский,IT-специалист,Python для анализа данных,10,2011
